,Marriage,"Repayment_Status_April,2005",Count,Percentage
0,married,-2,2354,48.980441115272576
1,married,-1,2786,49.101163200563974
2,married,0,6951,43.30031769762661
3,married,2,1238,44.92017416545718
4,married,3,91,49.72677595628415
5,married,4,21,42.857142857142854
6,married,5,6,46.15384615384615
7,married,6,8,42.10526315789473
8,married,7,21,45.65217391304348
9,married,8,1,50.0
10,others,-2,28,0.5826050769870994
11,others,-1,55,0.9693338033133593
12,others,0,202,1.2583317759920265
13,others,2,30,1.0885341074020318
14,others,3,0,0.0
15,others,4,1,2.0408163265306123
16,others,5,0,0.0
17,others,6,1,5.263157894736842
18,others,7,1,2.1739130434782608
19,others,8,0,0.0
20,single,-2,2424,50.43695380774032
21,single,-1,2833,49.929502996122665
22,single,0,8900,55.44135052638136
23,single,2,1488,53.99129172714079
24,single,3,92,50.27322404371585
25,single,4,27,55.10204081632652
26,single,5,7,53.84615384615385
27,single,6,10,52.63157894736842
28,single,7,24,52.17391304347826
29,single,8,1,50.0
