,Marriage,"Repayment_Status_August,2005",Count,Percentage
0,married,-2,1851,49.73132724341752
1,married,-1,2930,48.91485809682805
2,married,0,6623,42.7952959421039
3,married,1,16,57.14285714285714
4,married,2,1841,47.15676229508197
5,married,3,141,43.25153374233129
6,married,4,46,47.42268041237113
7,married,5,11,44.0
8,married,6,7,58.333333333333336
9,married,7,10,50.0
10,married,8,1,100.0
11,others,-2,28,0.7522837184309511
12,others,-1,47,0.7846410684474123
13,others,0,195,1.260015507883174
14,others,1,1,3.571428571428571
15,others,2,43,1.1014344262295082
16,others,3,2,0.6134969325153374
17,others,4,2,2.0618556701030926
18,others,5,0,0.0
19,others,6,0,0.0
20,others,7,0,0.0
21,others,8,0,0.0
22,single,-2,1843,49.51638903815153
23,single,-1,3013,50.30050083472454
24,single,0,8658,55.94468855001292
25,single,1,11,39.285714285714285
26,single,2,2020,51.74180327868852
27,single,3,183,56.13496932515337
28,single,4,49,50.51546391752577
29,single,5,14,56.00000000000001
30,single,6,5,41.66666666666667
31,single,7,10,50.0
32,single,8,0,0.0
