,Marriage,"Repayment_Status_September,2005",Count,Percentage
0,married,-2,1356,50.073855243722306
1,married,-1,2735,48.55316882655779
2,married,0,6199,42.754672736050765
3,married,1,1713,46.77771709448389
4,married,2,1272,48.18181818181818
5,married,3,140,43.75
6,married,4,35,46.05263157894737
7,married,5,8,33.33333333333333
8,married,6,4,36.36363636363637
9,married,7,6,66.66666666666666
10,married,8,9,47.368421052631575
11,others,-2,14,0.51698670605613
12,others,-1,42,0.7456062488904669
13,others,0,181,1.2483619559969654
14,others,1,46,1.2561441835062808
15,others,2,28,1.0606060606060608
16,others,3,7,2.1875
17,others,4,0,0.0
18,others,5,0,0.0
19,others,6,0,0.0
20,others,7,0,0.0
21,others,8,0,0.0
22,single,-2,1338,49.40915805022156
23,single,-1,2856,50.701224924551745
24,single,0,8119,55.99696530795227
25,single,1,1903,51.96613872200984
26,single,2,1340,50.75757575757576
27,single,3,173,54.0625
28,single,4,41,53.94736842105263
29,single,5,16,66.66666666666666
30,single,6,7,63.63636363636363
31,single,7,3,33.33333333333333
32,single,8,10,52.63157894736842
