,Age,Average_Repayment_Status,0
0,21,-2.0,1
1,21,-1.3333333333333333,2
2,21,-1.1666666666666667,1
3,21,-1.0,3
4,21,-0.6666666666666666,2
5,21,-0.5,2
6,21,-0.3333333333333333,4
7,21,-0.16666666666666666,4
8,21,0.0,29
9,21,0.16666666666666666,1
10,21,0.3333333333333333,8
11,21,0.5,1
12,21,0.6666666666666666,1
13,21,0.8333333333333334,1
14,21,1.0,2
15,21,1.5,2
16,22,-2.0,8
17,22,-1.8333333333333333,1
18,22,-1.6666666666666667,2
19,22,-1.5,6
20,22,-1.3333333333333333,4
21,22,-1.1666666666666667,4
22,22,-1.0,11
23,22,-0.8333333333333334,13
24,22,-0.6666666666666666,16
25,22,-0.5,11
26,22,-0.3333333333333333,19
27,22,-0.16666666666666666,39
28,22,0.0,186
29,22,0.16666666666666666,10
30,22,0.3333333333333333,59
31,22,0.5,26
32,22,0.6666666666666666,15
33,22,0.8333333333333334,16
34,22,1.0,26
35,22,1.1666666666666667,17
36,22,1.3333333333333333,17
37,22,1.5,7
38,22,1.6666666666666667,6
39,22,1.8333333333333333,6
40,22,2.0,11
41,22,2.1666666666666665,2
42,22,2.3333333333333335,8
43,22,2.5,1
44,22,2.6666666666666665,1
45,22,2.8333333333333335,1
46,22,3.0,2
47,22,3.1666666666666665,1
48,22,4.666666666666667,1
49,23,-2.0,24
50,23,-1.6666666666666667,4
51,23,-1.5,14
52,23,-1.3333333333333333,12
53,23,-1.1666666666666667,11
54,23,-1.0,32
55,23,-0.8333333333333334,18
56,23,-0.6666666666666666,34
57,23,-0.5,34
58,23,-0.3333333333333333,31
59,23,-0.16666666666666666,53
60,23,0.0,325
61,23,0.16666666666666666,11
62,23,0.3333333333333333,109
63,23,0.5,24
64,23,0.6666666666666666,36
65,23,0.8333333333333334,17
66,23,1.0,19
67,23,1.1666666666666667,11
68,23,1.3333333333333333,19
69,23,1.5,9
70,23,1.6666666666666667,5
71,23,1.8333333333333333,13
72,23,2.0,27
73,23,2.1666666666666665,6
74,23,2.3333333333333335,2
75,23,2.5,3
76,23,2.6666666666666665,3
77,23,2.8333333333333335,1
78,23,3.0,1
79,23,3.3333333333333335,1
80,23,3.5,1
81,23,4.0,1
82,23,4.5,1
83,23,4.666666666666667,1
84,23,4.833333333333333,1
85,23,5.166666666666667,2
86,23,5.333333333333333,1
87,24,-2.0,26
88,24,-1.8333333333333333,1
89,24,-1.6666666666666667,9
90,24,-1.5,15
91,24,-1.3333333333333333,14
92,24,-1.1666666666666667,23
93,24,-1.0,59
94,24,-0.8333333333333334,39
95,24,-0.6666666666666666,29
96,24,-0.5,29
97,24,-0.3333333333333333,43
98,24,-0.16666666666666666,61
99,24,0.0,390
100,24,0.16666666666666666,13
101,24,0.3333333333333333,117
102,24,0.5,30
103,24,0.6666666666666666,38
104,24,0.8333333333333334,23
105,24,1.0,25
106,24,1.1666666666666667,17
107,24,1.3333333333333333,24
108,24,1.5,9
109,24,1.6666666666666667,4
110,24,1.8333333333333333,21
111,24,2.0,19
112,24,2.1666666666666665,12
113,24,2.3333333333333335,7
114,24,2.5,4
115,24,2.6666666666666665,3
116,24,2.8333333333333335,1
117,24,3.3333333333333335,3
118,24,3.5,1
119,24,4.166666666666667,1
120,24,4.666666666666667,1
121,24,5.166666666666667,1
122,24,5.333333333333333,3
123,24,5.5,2
124,25,-2.0,41
125,25,-1.8333333333333333,2
126,25,-1.6666666666666667,7
127,25,-1.5,19
128,25,-1.3333333333333333,13
129,25,-1.1666666666666667,22
130,25,-1.0,60
131,25,-0.8333333333333334,24
132,25,-0.6666666666666666,51
133,25,-0.5,42
134,25,-0.3333333333333333,48
135,25,-0.16666666666666666,56
136,25,0.0,443
137,25,0.16666666666666666,14
138,25,0.3333333333333333,88
139,25,0.5,37
140,25,0.6666666666666666,39
141,25,0.8333333333333334,14
142,25,1.0,36
143,25,1.1666666666666667,11
144,25,1.3333333333333333,21
145,25,1.5,11
146,25,1.6666666666666667,8
147,25,1.8333333333333333,12
148,25,2.0,24
149,25,2.1666666666666665,8
150,25,2.3333333333333335,3
151,25,2.5,4
152,25,2.6666666666666665,4
153,25,2.8333333333333335,5
154,25,3.0,2
155,25,3.1666666666666665,2
156,25,3.3333333333333335,2
157,25,3.5,1
158,25,5.166666666666667,1
159,25,5.5,1
160,26,-2.0,51
161,26,-1.8333333333333333,3
162,26,-1.6666666666666667,9
163,26,-1.5,21
164,26,-1.3333333333333333,17
165,26,-1.1666666666666667,28
166,26,-1.0,82
167,26,-0.8333333333333334,41
168,26,-0.6666666666666666,36
169,26,-0.5,33
170,26,-0.3333333333333333,52
171,26,-0.16666666666666666,65
172,26,0.0,479
173,26,0.16666666666666666,9
174,26,0.3333333333333333,92
175,26,0.5,21
176,26,0.6666666666666666,27
177,26,0.8333333333333334,20
178,26,1.0,26
179,26,1.1666666666666667,16
180,26,1.3333333333333333,22
181,26,1.5,3
182,26,1.6666666666666667,17
183,26,1.8333333333333333,23
184,26,2.0,26
185,26,2.1666666666666665,9
186,26,2.3333333333333335,3
187,26,2.5,4
188,26,2.6666666666666665,3
189,26,2.8333333333333335,2
190,26,3.3333333333333335,1
191,26,4.5,1
192,26,5.166666666666667,1
193,26,5.333333333333333,1
194,26,5.5,1
195,27,-2.0,78
196,27,-1.8333333333333333,4
197,27,-1.6666666666666667,14
198,27,-1.5,36
199,27,-1.3333333333333333,20
200,27,-1.1666666666666667,30
201,27,-1.0,105
202,27,-0.8333333333333334,49
203,27,-0.6666666666666666,54
204,27,-0.5,53
205,27,-0.3333333333333333,56
206,27,-0.16666666666666666,80
207,27,0.0,520
208,27,0.16666666666666666,16
209,27,0.3333333333333333,90
210,27,0.5,27
211,27,0.6666666666666666,53
212,27,0.8333333333333334,20
213,27,1.0,27
214,27,1.1666666666666667,16
215,27,1.3333333333333333,32
216,27,1.5,7
217,27,1.6666666666666667,9
218,27,1.8333333333333333,19
219,27,2.0,20
220,27,2.1666666666666665,6
221,27,2.3333333333333335,2
222,27,2.5,2
223,27,2.6666666666666665,2
224,27,2.8333333333333335,1
225,27,3.0,1
226,27,3.1666666666666665,1
227,27,3.3333333333333335,1
228,27,3.5,2
229,27,3.8333333333333335,1
230,27,4.666666666666667,1
231,28,-2.0,89
232,28,-1.8333333333333333,4
233,28,-1.6666666666666667,14
234,28,-1.5,40
235,28,-1.3333333333333333,21
236,28,-1.1666666666666667,22
237,28,-1.0,104
238,28,-0.8333333333333334,52
239,28,-0.6666666666666666,50
240,28,-0.5,57
241,28,-0.3333333333333333,49
242,28,-0.16666666666666666,59
243,28,0.0,495
244,28,0.16666666666666666,17
245,28,0.3333333333333333,90
246,28,0.5,28
247,28,0.6666666666666666,38
248,28,0.8333333333333334,22
249,28,1.0,25
250,28,1.1666666666666667,23
251,28,1.3333333333333333,31
252,28,1.5,5
253,28,1.6666666666666667,8
254,28,1.8333333333333333,11
255,28,2.0,25
256,28,2.1666666666666665,6
257,28,2.3333333333333335,1
258,28,2.8333333333333335,1
259,28,3.3333333333333335,1
260,28,3.5,2
261,28,3.6666666666666665,1
262,28,4.166666666666667,1
263,28,4.666666666666667,3
264,28,5.333333333333333,1
265,28,5.5,1
266,29,-2.0,105
267,29,-1.8333333333333333,7
268,29,-1.6666666666666667,14
269,29,-1.5,56
270,29,-1.3333333333333333,24
271,29,-1.1666666666666667,39
272,29,-1.0,114
273,29,-0.8333333333333334,61
274,29,-0.6666666666666666,64
275,29,-0.5,60
276,29,-0.3333333333333333,73
277,29,-0.16666666666666666,75
278,29,0.0,557
279,29,0.16666666666666666,13
280,29,0.3333333333333333,84
281,29,0.5,36
282,29,0.6666666666666666,31
283,29,0.8333333333333334,12
284,29,1.0,30
285,29,1.1666666666666667,19
286,29,1.3333333333333333,30
287,29,1.5,3
288,29,1.6666666666666667,12
289,29,1.8333333333333333,19
290,29,2.0,35
291,29,2.1666666666666665,4
292,29,2.3333333333333335,3
293,29,2.5,2
294,29,2.6666666666666665,1
295,29,2.8333333333333335,1
296,29,3.0,1
297,29,3.1666666666666665,2
298,29,3.3333333333333335,2
299,29,4.5,1
300,29,4.666666666666667,1
301,29,5.166666666666667,1
302,29,5.5,1
303,30,-2.0,101
304,30,-1.8333333333333333,5
305,30,-1.6666666666666667,11
306,30,-1.5,38
307,30,-1.3333333333333333,25
308,30,-1.1666666666666667,19
309,30,-1.0,124
310,30,-0.8333333333333334,44
311,30,-0.6666666666666666,64
312,30,-0.5,67
313,30,-0.3333333333333333,52
314,30,-0.16666666666666666,71
315,30,0.0,453
316,30,0.16666666666666666,15
317,30,0.3333333333333333,86
318,30,0.5,30
319,30,0.6666666666666666,30
320,30,0.8333333333333334,21
321,30,1.0,18
322,30,1.1666666666666667,12
323,30,1.3333333333333333,18
324,30,1.5,9
325,30,1.6666666666666667,7
326,30,1.8333333333333333,9
327,30,2.0,31
328,30,2.1666666666666665,5
329,30,2.3333333333333335,2
330,30,2.5,1
331,30,2.6666666666666665,4
332,30,2.8333333333333335,1
333,30,3.1666666666666665,1
334,30,3.3333333333333335,2
335,30,3.6666666666666665,2
336,30,4.666666666666667,3
337,30,5.333333333333333,1
338,31,-2.0,106
339,31,-1.8333333333333333,4
340,31,-1.6666666666666667,12
341,31,-1.5,40
342,31,-1.3333333333333333,22
343,31,-1.1666666666666667,32
344,31,-1.0,115
345,31,-0.8333333333333334,37
346,31,-0.6666666666666666,51
347,31,-0.5,56
348,31,-0.3333333333333333,54
349,31,-0.16666666666666666,39
350,31,0.0,374
351,31,0.16666666666666666,14
352,31,0.3333333333333333,58
353,31,0.5,24
354,31,0.6666666666666666,28
355,31,0.8333333333333334,22
356,31,1.0,24
357,31,1.1666666666666667,17
358,31,1.3333333333333333,14
359,31,1.5,6
360,31,1.6666666666666667,4
361,31,1.8333333333333333,12
362,31,2.0,16
363,31,2.1666666666666665,7
364,31,2.3333333333333335,2
365,31,2.5,2
366,31,2.6666666666666665,1
367,31,3.0,2
368,31,3.1666666666666665,2
369,31,3.3333333333333335,2
370,31,3.5,1
371,31,4.5,1
372,31,4.666666666666667,1
373,31,5.333333333333333,2
374,31,5.5,1
375,32,-2.0,101
376,32,-1.8333333333333333,4
377,32,-1.6666666666666667,9
378,32,-1.5,34
379,32,-1.3333333333333333,18
380,32,-1.1666666666666667,23
381,32,-1.0,83
382,32,-0.8333333333333334,43
383,32,-0.6666666666666666,49
384,32,-0.5,45
385,32,-0.3333333333333333,44
386,32,-0.16666666666666666,55
387,32,0.0,394
388,32,0.16666666666666666,9
389,32,0.3333333333333333,76
390,32,0.5,22
391,32,0.6666666666666666,24
392,32,0.8333333333333334,14
393,32,1.0,15
394,32,1.1666666666666667,11
395,32,1.3333333333333333,16
396,32,1.5,11
397,32,1.6666666666666667,2
398,32,1.8333333333333333,16
399,32,2.0,15
400,32,2.1666666666666665,4
401,32,2.3333333333333335,2
402,32,3.0,1
403,32,3.6666666666666665,1
404,32,4.166666666666667,1
405,32,4.666666666666667,1
406,33,-2.0,89
407,33,-1.8333333333333333,5
408,33,-1.6666666666666667,13
409,33,-1.5,36
410,33,-1.3333333333333333,20
411,33,-1.1666666666666667,29
412,33,-1.0,106
413,33,-0.8333333333333334,41
414,33,-0.6666666666666666,49
415,33,-0.5,38
416,33,-0.3333333333333333,36
417,33,-0.16666666666666666,51
418,33,0.0,402
419,33,0.16666666666666666,14
420,33,0.3333333333333333,60
421,33,0.5,21
422,33,0.6666666666666666,20
423,33,0.8333333333333334,9
424,33,1.0,13
425,33,1.1666666666666667,11
426,33,1.3333333333333333,13
427,33,1.5,6
428,33,1.6666666666666667,3
429,33,1.8333333333333333,14
430,33,2.0,18
431,33,2.1666666666666665,2
432,33,2.5,3
433,33,3.0,1
434,33,3.8333333333333335,1
435,33,4.666666666666667,1
436,33,5.166666666666667,2
437,34,-2.0,99
438,34,-1.8333333333333333,2
439,34,-1.6666666666666667,9
440,34,-1.5,41
441,34,-1.3333333333333333,15
442,34,-1.1666666666666667,32
443,34,-1.0,112
444,34,-0.8333333333333334,44
445,34,-0.6666666666666666,50
446,34,-0.5,44
447,34,-0.3333333333333333,33
448,34,-0.16666666666666666,54
449,34,0.0,381
450,34,0.16666666666666666,11
451,34,0.3333333333333333,52
452,34,0.5,15
453,34,0.6666666666666666,17
454,34,0.8333333333333334,11
455,34,1.0,30
456,34,1.1666666666666667,11
457,34,1.3333333333333333,17
458,34,1.5,7
459,34,1.6666666666666667,8
460,34,1.8333333333333333,14
461,34,2.0,31
462,34,2.1666666666666665,3
463,34,2.3333333333333335,2
464,34,2.6666666666666665,1
465,34,4.0,1
466,35,-2.0,77
467,35,-1.8333333333333333,5
468,35,-1.6666666666666667,17
469,35,-1.5,37
470,35,-1.3333333333333333,26
471,35,-1.1666666666666667,27
472,35,-1.0,93
473,35,-0.8333333333333334,44
474,35,-0.6666666666666666,45
475,35,-0.5,43
476,35,-0.3333333333333333,36
477,35,-0.16666666666666666,45
478,35,0.0,377
479,35,0.16666666666666666,13
480,35,0.3333333333333333,54
481,35,0.5,18
482,35,0.6666666666666666,17
483,35,0.8333333333333334,20
484,35,1.0,17
485,35,1.1666666666666667,10
486,35,1.3333333333333333,16
487,35,1.5,11
488,35,1.6666666666666667,6
489,35,1.8333333333333333,11
490,35,2.0,23
491,35,2.1666666666666665,3
492,35,2.5,2
493,35,2.6666666666666665,1
494,35,2.8333333333333335,1
495,35,3.3333333333333335,1
496,35,3.5,1
497,35,5.5,1
498,36,-2.0,101
499,36,-1.8333333333333333,3
500,36,-1.6666666666666667,19
501,36,-1.5,44
502,36,-1.3333333333333333,21
503,36,-1.1666666666666667,25
504,36,-1.0,107
505,36,-0.8333333333333334,53
506,36,-0.6666666666666666,45
507,36,-0.5,40
508,36,-0.3333333333333333,29
509,36,-0.16666666666666666,42
510,36,0.0,321
511,36,0.16666666666666666,7
512,36,0.3333333333333333,64
513,36,0.5,20
514,36,0.6666666666666666,29
515,36,0.8333333333333334,7
516,36,1.0,19
517,36,1.1666666666666667,9
518,36,1.3333333333333333,19
519,36,1.5,10
520,36,1.6666666666666667,3
521,36,1.8333333333333333,12
522,36,2.0,23
523,36,2.1666666666666665,2
524,36,2.3333333333333335,5
525,36,2.5,1
526,36,2.6666666666666665,3
527,36,2.8333333333333335,1
528,36,3.0,3
529,36,4.5,1
530,36,4.666666666666667,2
531,36,5.333333333333333,2
532,36,5.5,2
533,37,-2.0,94
534,37,-1.8333333333333333,5
535,37,-1.6666666666666667,12
536,37,-1.5,27
537,37,-1.3333333333333333,10
538,37,-1.1666666666666667,23
539,37,-1.0,104
540,37,-0.8333333333333334,34
541,37,-0.6666666666666666,39
542,37,-0.5,43
543,37,-0.3333333333333333,48
544,37,-0.16666666666666666,58
545,37,0.0,331
546,37,0.16666666666666666,5
547,37,0.3333333333333333,42
548,37,0.5,27
549,37,0.6666666666666666,19
550,37,0.8333333333333334,11
551,37,1.0,15
552,37,1.1666666666666667,11
553,37,1.3333333333333333,16
554,37,1.5,3
555,37,1.6666666666666667,2
556,37,1.8333333333333333,5
557,37,2.0,26
558,37,2.1666666666666665,3
559,37,2.3333333333333335,3
560,37,2.6666666666666665,2
561,37,2.8333333333333335,2
562,37,3.3333333333333335,1
563,37,4.666666666666667,2
564,38,-2.0,84
565,38,-1.8333333333333333,4
566,38,-1.6666666666666667,13
567,38,-1.5,35
568,38,-1.3333333333333333,20
569,38,-1.1666666666666667,14
570,38,-1.0,110
571,38,-0.8333333333333334,32
572,38,-0.6666666666666666,40
573,38,-0.5,28
574,38,-0.3333333333333333,27
575,38,-0.16666666666666666,50
576,38,0.0,281
577,38,0.16666666666666666,6
578,38,0.3333333333333333,51
579,38,0.5,21
580,38,0.6666666666666666,19
581,38,0.8333333333333334,16
582,38,1.0,17
583,38,1.1666666666666667,12
584,38,1.3333333333333333,19
585,38,1.5,3
586,38,1.6666666666666667,3
587,38,1.8333333333333333,7
588,38,2.0,13
589,38,2.3333333333333335,3
590,38,2.5,1
591,38,2.6666666666666665,4
592,38,3.6666666666666665,1
593,38,4.5,1
594,38,5.5,1
595,39,-2.0,76
596,39,-1.6666666666666667,11
597,39,-1.5,38
598,39,-1.3333333333333333,19
599,39,-1.1666666666666667,23
600,39,-1.0,90
601,39,-0.8333333333333334,36
602,39,-0.6666666666666666,35
603,39,-0.5,32
604,39,-0.3333333333333333,33
605,39,-0.16666666666666666,45
606,39,0.0,307
607,39,0.16666666666666666,9
608,39,0.3333333333333333,44
609,39,0.5,21
610,39,0.6666666666666666,20
611,39,0.8333333333333334,11
612,39,1.0,17
613,39,1.1666666666666667,11
614,39,1.3333333333333333,12
615,39,1.5,6
616,39,1.6666666666666667,6
617,39,1.8333333333333333,9
618,39,2.0,17
619,39,2.1666666666666665,3
620,39,2.3333333333333335,3
621,39,2.5,3
622,39,2.8333333333333335,1
623,39,4.0,1
624,39,4.5,1
625,39,5.5,1
626,40,-2.0,74
627,40,-1.8333333333333333,4
628,40,-1.6666666666666667,11
629,40,-1.5,35
630,40,-1.3333333333333333,17
631,40,-1.1666666666666667,21
632,40,-1.0,88
633,40,-0.8333333333333334,34
634,40,-0.6666666666666666,23
635,40,-0.5,33
636,40,-0.3333333333333333,29
637,40,-0.16666666666666666,34
638,40,0.0,275
639,40,0.16666666666666666,5
640,40,0.3333333333333333,42
641,40,0.5,19
642,40,0.6666666666666666,21
643,40,0.8333333333333334,9
644,40,1.0,16
645,40,1.1666666666666667,2
646,40,1.3333333333333333,14
647,40,1.5,5
648,40,1.6666666666666667,4
649,40,1.8333333333333333,6
650,40,2.0,14
651,40,2.1666666666666665,4
652,40,2.3333333333333335,4
653,40,2.5,1
654,40,2.6666666666666665,2
655,40,3.3333333333333335,1
656,40,4.5,1
657,40,5.5,2
658,41,-2.0,66
659,41,-1.8333333333333333,3
660,41,-1.6666666666666667,10
661,41,-1.5,22
662,41,-1.3333333333333333,10
663,41,-1.1666666666666667,14
664,41,-1.0,78
665,41,-0.8333333333333334,35
666,41,-0.6666666666666666,37
667,41,-0.5,20
668,41,-0.3333333333333333,19
669,41,-0.16666666666666666,32
670,41,0.0,284
671,41,0.16666666666666666,10
672,41,0.3333333333333333,40
673,41,0.5,23
674,41,0.6666666666666666,19
675,41,0.8333333333333334,9
676,41,1.0,10
677,41,1.1666666666666667,8
678,41,1.3333333333333333,12
679,41,1.5,7
680,41,1.6666666666666667,4
681,41,1.8333333333333333,7
682,41,2.0,17
683,41,2.1666666666666665,6
684,41,2.3333333333333335,3
685,41,2.6666666666666665,1
686,41,4.5,1
687,41,4.666666666666667,2
688,41,5.333333333333333,1
689,41,5.5,1
690,42,-2.0,55
691,42,-1.8333333333333333,5
692,42,-1.6666666666666667,8
693,42,-1.5,31
694,42,-1.3333333333333333,17
695,42,-1.1666666666666667,14
696,42,-1.0,74
697,42,-0.8333333333333334,40
698,42,-0.6666666666666666,26
699,42,-0.5,28
700,42,-0.3333333333333333,31
701,42,-0.16666666666666666,20
702,42,0.0,249
703,42,0.16666666666666666,7
704,42,0.3333333333333333,50
705,42,0.5,15
706,42,0.6666666666666666,24
707,42,0.8333333333333334,7
708,42,1.0,16
709,42,1.1666666666666667,10
710,42,1.3333333333333333,11
711,42,1.5,1
712,42,1.6666666666666667,8
713,42,1.8333333333333333,5
714,42,2.0,16
715,42,2.1666666666666665,6
716,42,2.3333333333333335,6
717,42,2.5,1
718,42,2.6666666666666665,1
719,42,3.5,1
720,42,4.0,1
721,42,4.5,1
722,42,5.5,1
723,43,-2.0,58
724,43,-1.8333333333333333,3
725,43,-1.6666666666666667,5
726,43,-1.5,22
727,43,-1.3333333333333333,10
728,43,-1.1666666666666667,20
729,43,-1.0,63
730,43,-0.8333333333333334,27
731,43,-0.6666666666666666,29
732,43,-0.5,29
733,43,-0.3333333333333333,23
734,43,-0.16666666666666666,25
735,43,0.0,224
736,43,0.16666666666666666,4
737,43,0.3333333333333333,31
738,43,0.5,12
739,43,0.6666666666666666,17
740,43,0.8333333333333334,4
741,43,1.0,10
742,43,1.1666666666666667,2
743,43,1.3333333333333333,5
744,43,1.5,4
745,43,1.6666666666666667,1
746,43,1.8333333333333333,5
747,43,2.0,15
748,43,2.1666666666666665,9
749,43,2.3333333333333335,2
750,43,2.5,2
751,43,2.6666666666666665,1
752,43,2.8333333333333335,1
753,43,4.5,1
